"value","mes","year","paragraph"
"The Central Bank of the Dominican Republic, in its Monetary Policy Meeting of April 2013, decided to keep its Monetary Policy Interest Rate (TPM) at 5.00% per annum.","04","13",1
"The decision on the reference interest rate takes into account that the forecast models predict that inflation would be around the target in the monetary policy horizon. In the same way, the expectations of the market are located around this objective. Accumulated inflation during the first three months of the year amounted to 1.97%. In March, the interannual inflation rate stood at 4.97%, within the target range defined for the current year, while the interannual core inflation was 5.23%.","04","13",2
"In the external context, some indicators of the US economy, such as those related to the real estate and consumer sectors, show a moderate recovery. However, preliminary figures indicate that the growth of the first quarter (2.5%) was lower than expected by the market (3.0%). For the year 2013, according to the latest forecasts of the Consensus Forecast, the United States of America's economy is expected to grow around 2.0%, below the 2.2% expansion registered in 2012. On the other hand, in the Euro Zone , the productive activity would remain in recession and it is estimated a fall of the GDP of the area of ??0.4% in the current year.","04","13",3
"At the Latin American level, Consensus Forecast forecasts a 3.4% growth for this year. In April, most of the countries in the region maintained their monetary policy stance, with the exception of Brazil and Guatemala, which increased their reference rate in the face of higher inflation in their respective economies. Globally, inflation prospects remain low, with reductions in international oil and gold prices, despite the recent announcement of an increase in the monetary issue of the Bank of Japan.","04","13",4
"In the domestic sphere, during the first quarter some production and domestic demand indicators show a deceleration higher than expected in economic activity, according to the Monetary Program. Credit to the private sector in national currency would be growing at an annual rate of around 6% in March, lower than the projected growth in nominal GDP for the end of the year. In April, the monthly variation of loans to the private sector in national currency showed a slowdown with respect to what was observed in the first three months of the year. Other variables, such as domestic imports, also show a downward trend, registering a fall of 5.7% during the first quarter of the year.","04","13",5
"The behavior of credit and domestic economic activity would seem to indicate that it would be worthwhile to take measures that, without altering price stability, help stimulate the economy.","04","13",6
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to adopt new measures in the face of risks on price stability and the good functioning of the financial and payment systems.","04","13",7
"At its monetary policy meeting in April 2014, the Central Bank of the Dominican Republic decided to keep the monetary policy interest rate unchanged at 6.25% per annum.","04","14",1
"The decision regarding the reference rate takes into account the revision of the risk balance around the inflation projections and the market expectations. In January-March, the cumulative inflation rate was 1.10%, which influenced the interannual rate to be 2.99%, below the lower end of the target range for 2014 of 4.5% <U+00B1> 1%. Likewise, the interannual core inflation, which is related to monetary conditions, was 3.21% at the end of the quarter.","04","14",2
"Externally, the recovery of the developed economies continues, mainly the United States of America, where an economic growth rate close to 2.7% is expected in 2014, in an environment of low inflation and without changes in the policy interest rate. in the next months. In the Eurozone, the outlook for moderate recovery remains around 1.2% for 2014, according to the Consensus Forecast. Emerging economies continue to project a lower rate of expansion than in previous years. In the case of Latin America, the consensus points to 2.3% growth for 2014, in an environment of reduced terms of trade in the region and lower liquidity in international markets. In recent months, the prices of some raw materials, particularly oil and food, have remained stable. The absence of inflationary pressures worldwide would favor low interest rates in developed countries for the rest of the year.","04","14",3
"In the domestic sphere, the trend-cycle of the Monthly Indicator of Economic Activity (IMAE) grows around 5.1% at the end of the first quarter and it is expected that the real Gross Domestic Product will increase around 4.5% in 2014, according to what is planned in the macroeconomic framework. At the same time, credit to the private sector in national currency expanded above 14.5% at the end of March and it is expected that it would be growing at a rate close to 10.0% at the end of the year, a rhythm consistent with the expected path in GDP nominal. Additionally, the influx of foreign currency into the economy would be improving due to the entry of important resources from the recent placement of the sovereign bond, to a more favorable behavior of exports of goods and services and remittances, given the improvement in the economy of our main business partner. This inflow of resources would help maintain the relative stability of the exchange rate.","04","14",4
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to take the necessary measures against risks on price stability and the proper functioning of the financial and payment systems.","04","14",5
"En su reuni<f3>n de pol<ed>tica monetaria del mes de abril de 2015, el Banco Central decidi<f3> reducir su tasa de inter<e9>s de pol<ed>tica monetaria en 50 puntos b<e1>sicos, de 5.75% anual a 5.25% anual, a partir del 1ro de mayo de 2015. De acuerdo al esquema de gesti<f3>n de liquidez de corto plazo del BCRD, la tasa de dep<f3>sitos remunerados (overnight) se redujo a 3.75% anual. Igualmente, la tasa de facilidades de expansi<f3>n (repos), disminuy<f3> a 6.75% anual.","04","15",1
"La decisi<f3>n sobre la tasa de referencia fue adoptada a partir del an<e1>lisis de las perspectivas de las principales variables macroecon<f3>micas, especialmente el balance de riesgos en torno a las proyecciones de inflaci<f3>n, las expectativas del mercado sobre la trayectoria futura de esta variable, el crecimiento econ<f3>mico y el mercado cambiario, as<ed> como la evaluaci<f3>n del entorno internacional relevante para la econom<ed>a dominicana.","04","15",2
"La tasa interanual de inflaci<f3>n se mantuvo por debajo de la meta de 4.0% <U+00B1> 1%, al descender a  0.64% en el mes de marzo. Por otro lado, la inflaci<f3>n acumulada durante los tres primeros meses del a<f1>o fue de 0.16%. Las proyecciones indican que la inflaci<f3>n se mantendr<ed>a por debajo del l<ed>mite inferior de la meta establecida en el Programa Monetario para 2015. Adem<e1>s, en el mes de marzo la inflaci<f3>n subyacente, relacionada con las condiciones monetarias de la econom<ed>a, fue de 2.59% interanual.","04","15",3
"En el <e1>mbito externo, los datos disponibles confirman que el proceso de recuperaci<f3>n de las econom<ed>as desarrolladas se mantiene en curso, apoyado por pol<ed>ticas monetarias expansivas. No obstante, para los Estados Unidos de Am<e9>rica (EUA), cifras preliminares muestran que la econom<ed>a registr<f3> un crecimiento inter-trimestral anualizado en enero- marzo de 0.2%, tasa por debajo de lo esperado por el mercado. Bajo esta perspectiva, Consensus Forecast ajust<f3> sus pron<f3>sticos de crecimiento de EUA para 2015, de 3.1% a 2.9%, a su vez el Fondo Monetario Internacional corrigi<f3> a la baja su proyecci<f3>n de 3.6% a 3.1% para el presente a<f1>o.","04","15",4
"Por otro lado, las perspectivas para la Eurozona han mejorado ajust<e1>ndose al alza sus proyecciones de crecimiento para 2015, de 1.1% en el reporte de marzo a 1.5% en abril, en tanto que Jap<f3>n crecer<ed>a en 1.0% en el presente a<f1>o. China ha mostrado se<f1>ales de ralentizaci<f3>n y su crecimiento estar<ed>a por debajo de 7.0% en 2015. En Am<e9>rica Latina, las previsiones de expansi<f3>n econ<f3>mica de Consensus Forecast han sido reducidas de 0.8% a 0.5% para 2015. Las condiciones financieras internacionales mejoraron en el <fa>ltimo mes, mientras el d<f3>lar contin<fa>a exhibiendo fortaleza, al tiempo que los precios del petr<f3>leo se sit<fa>an entre US$50 y US$60 por barril. Otros commodities exhiben un comportamiento similar, registrando importantes reducciones en sus precios.","04","15",5
"En el <e1>mbito dom<e9>stico, la actividad econ<f3>mica evoluciona de manera favorable, creciendo el indicador mensual de actividad econ<f3>mica (IMAE) 6.5% en t<e9>rminos interanuales durante los dos primeros meses del a<f1>o. Asimismo, la tasa de crecimiento anual del cr<e9>dito al sector privado en moneda nacional fue de alrededor de 12.5% en abril, respecto a igual mes de a<f1>o anterior. En cuanto a la pol<ed>tica fiscal, la ejecuci<f3>n presupuestaria apunta a que se cumplir<ed>a la meta de d<e9>ficit del Gobierno Central, en torno a 2.4% del PIB en 2015. Las recaudaciones fiscales crecen alrededor de 10.5%, por encima de lo estimado en el  Presupuesto 2015. Adicionalmente, las cuentas externas apuntan hacia un d<e9>ficit de cuenta corriente en torno al 2.0% del PIB para el cierre del a<f1>o, facilitando la estabilidad relativa en el mercado cambiario y la acumulaci<f3>n de reservas internacionales por encima de lo planeado en el Programa Monetario. ","04","15",6
"El Banco Central ratifica su compromiso de implementar la pol<ed>tica monetaria orientada al logro de su meta de inflaci<f3>n, a la vez que seguir<e1> monitoreando la evoluci<f3>n de la econom<ed>a mundial y la coyuntura dom<e9>stica, a fin de adoptar las medidas necesarias ante riesgos sobre la estabilidad de precios y el buen funcionamiento de los sistemas financiero y de pagos.","04","15",7
"The Central Bank of the Dominican Republic, in its Monetary Policy Meeting of April 2016, decided to keep the Monetary Policy Rate (MPR) at 5.00% per annum.","04","16",1
"The decision on the reference interest rate takes into account that the forecast models predict that inflation would converge to the lower range of the target of 4.0% <U+00B1> 1.0% in the monetary policy horizon. In the same way, market expectations are placed around this prediction. In March, the interannual inflation rate stood at 1.59%, while the interannual core inflation, related to monetary conditions, reached 1.52%. It should be noted that in the first quarter of the year, the Dominican economy accumulated a general inflation of -0.58%.","04","16",2
"In the external context, the behavior of the world economy is influenced by a mixed picture in which advanced economies, on average, show a moderate recovery, while emerging markets remain relatively stagnant. In this environment, according to Consensus Forecast, the world economy would grow 2.4% in 2016 and 2.8% in 2017. The United States of America (USA) would expand around 2.0% in 2016 and 2.4% in 2017, while the Euro Zone would grow in 1.5% and 1.6%, during those years, respectively.","04","16",3
"Latin America (AL), as a whole, would present a contraction in its production of -0.6% in 2016, due to the recession experienced by Venezuela (-7.8%), Brazil (-3.8%), Argentina (-1.1%) and Ecuador (-1.0%), without taking into account the economic impact of the recent earthquake. Likewise, the growth of other important countries in the region would be positive, but it would remain below the average of the last 5 years. Such is the case of Mexico (2.4%), Chile (1.8%), Colombia (2.4%) and Uruguay (1.5%). For 2017, a moderate recovery of LA is expected with a growth rate of around 2.0%.","04","16",4
"Recently, the prices of some primary goods, particularly oil, have shown an upward trend, surpassing, in the case of this commodity, US $ 45 per barrel. International financial markets have been relatively calm, moderating restrictive financial conditions, while long-term interest rates in advanced countries are historically low.","04","16",5
"Internally, economic activity evolves positively in the short term. According to preliminary information, the Gross Domestic Product grew by 6.1% in the first quarter of 2016. In that sense, credit to the private sector in national currency registered an annual growth rate of around 13% in April, higher than the expected expansion of nominal GDP. It should be noted that the open unemployment rate fell from 6.0% to 5.7%, from April 2015 to April 2016 and the rate of expanded unemployment was 13.3%, the lowest of the last two decades.","04","16",6
"Additionally, for 2016 it is estimated that the current account deficit will be around 1.9% of GDP, while the budget deficit closes around 2.3% of GDP. In a context of solid macroeconomic fundamentals like the current one, it facilitates the maintenance of the relative stability of the exchange rate, as well as an accumulation of international reserves over and above what is planned in the Monetary Program and the sustainability of public finances.","04","16",7
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to adopt new measures in the face of risks on price stability and the good functioning of the financial and payment systems.","04","16",8
"At its monetary policy meeting in April 2017, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.75% per annum.","04","17",1
"The decision regarding the reference rate resulted from a comprehensive analysis of the balance of risks around inflation projections including the main national macroeconomic indicators, market expectations and the relevant international environment for the Dominican economy. As of March 2017, accumulated inflation in the first quarter stood at 0.84%. In interannual terms, inflation stood at 3.14%, remaining within the range established in the Monetary Program of 4% <U+00B1> 1%. The forecast system indicates that inflation would continue within the target range in the current year.","04","17",2
"Externally, the world economy would grow 3.5% in 2017 and 3.6% in 2018, according to the IMF. For Consensus Forecast, the developed economies would continue showing a high dynamism. In that sense, the United States of America (USA) presents a projection of growth around 2.2% in 2017 and 2.4% in 2018, while the Euro Zone (ZE) would expand 1.7% in 2017 and 1.5% in 2018. On the other On the other hand, the US inflation rate would reach 2.5% and 2.3%, respectively, during those years, while in the ZE inflation rates of 1.6% and 1.4% are expected, below the Bank's 2.0% target. European Central (ECB). The macroeconomic conditions in the EZ have led the ECB to maintain an expansive monetary policy stance. As a result, the interest rate differential between the US and the ZE has increased, helping to strengthen the dollar in international markets.","04","17",3
"In the case of Latin America, Consensus Forecast projects a real product expansion of 1.6% in 2017 and 2.6% in 2018. This growth is consistent with the fact that the countries of the region that are net exporters of commodities would benefit from higher prices of primary goods in international markets.","04","17",4
"In the domestic sphere, economic activity continues to expand above its potential, observing a tendency to gradually converge to this level in the medium term. As of March, the Monthly Indicator of Economic Activity (IMAE) grows in line with the projections of the Monetary Program. Credit to the private sector in national currency expanded at an annual rate of around 10.0% at the end of April, consistent with the estimated nominal GDP growth rate.","04","17",5
"On the fiscal policy side, public spending has moderated and is evolving according to the provisions of the 2017 budget. Regarding external accounts, the current account deficit closed 2016 at 1.4% of GDP, allowing a significant accumulation of international reserves and facilitating the maintenance of the relative stability of the exchange rate.","04","17",6
"The BCRD reaffirms its commitment to conduct monetary policy to achieve its inflation target and maintain macroeconomic stability. In that sense, it will continue to monitor the evolution of the world economy and the domestic situation, in order to adopt the necessary measures against possible risks on price stability and the proper functioning of the financial and payment systems.","04","17",7
"At its monetary policy meeting in April 2018, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.25% per annum.","04","18",1
"The decision to leave the reference rate unchanged was based on the review of the balance of risks around inflation forecasts, as well as on the analysis of the main national macroeconomic indicators, the relevant international environment, market expectations and medium-term projections of this set of variables. Inflation for the month of March 2018 was 0.37%, which is why cumulative inflation in the first quarter of the year reached 0.55% and year-on-year inflation rose to 3.91%. Likewise, core inflation, linked to monetary conditions, was placed at 2.57% year-on-year. The forecasts indicate that inflation would remain within the target range of 4.0% <U+00B1> 1.0% established in the Monetary Program in the monetary policy horizon.","04","18",2
"In the international environment, the global economic outlook remains dynamic, led by the growth of the industrialized economies. In fact, at the recent spring meetings of the International Monetary Fund and the World Bank, more favorable global economic prospects were presented, highlighting that this is the greatest dynamism exhibited since 2011, amid favorable financial conditions and balanced risks. Indeed, according to its most recent report on the prospects of the world economy (WEO), the IMF forecasts a 3.9% growth for the world economy, both in 2018 and 2019. Among the developed economies, The IMF report highlights the growth projection of the United States of America (USA) with expansions of 2.9% in 2018 and 2.7% in 2019, followed by growth forecast for the Euro Zone (ZE) of 2.4% and 2.0% during those years. In the case of Latin America (AL), the IMF's growth outlook points to an expansion of 2.0% for 2018 and 2.8% for 2019. Only Venezuela would remain in recession during the projection period.","04","18",3
"In terms of inflation, pressures on prices would remain moderate in advanced economies, with rates estimated at 2.5% in 2018 and 2.4% in 2019 for the US and 1.5% and 1.6% in those years for the EZ. In Latin America, average inflation, excluding Venezuela, would close the year at around 5.9%, according to Consensus Forecast.","04","18",4
"As a result of better international economic performance, among other factors, prices of primary goods, mainly oil, have maintained their upward trend in the first half of the year. In that sense, the average price of a barrel of oil is around US $ 64 so far this year and it is expected to be gradually reduced, converging to about US $ 60 / barrel at the end of 2018.","04","18",5
"In the domestic context, economic activity continues to evolve favorably in the short term. Taking into account the evolution of the Monthly Indicator of Economic Activity during the first two months of the year, the real product would expand above its potential in the first quarter, in a favorable international context and a domestic environment where the effects of the monetary stimulus remain of last year. In this regard, loans to the private sector in local currency grew around 13.5% year-on-year to the month of April, while monetary aggregates presented growth rates consistent with this credit expansion.","04","18",6
"On the fiscal policy side, government revenues have remained above the amount budgeted during the first four months of the year, improving the outlook for compliance with the fiscal deficit target of 2.2% of GDP established in the 2018. In the external sector, dynamism continues in foreign exchange generating activities, such as tourism, remittances and foreign direct investment, which facilitates the relative stability of the foreign exchange market and the strengthening of international reserves.","04","18",7
"The Central Bank of the Dominican Republic reaffirms its commitment to conduct monetary policy aimed at achieving the inflation target and maintaining macroeconomic stability. In this sense, it will continue to monitor the evolution of the world economy, as well as the main risks in the domestic context, in order to adopt the necessary measures in the face of possible effects on price stability and the proper functioning of the financial and payment systems.","04","18",8
"BCRD keeps its monetary policy rate at 5.50% per year","04","19",1
"At its monetary policy meeting in April 2019, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.50% per annum.","04","19",2
"The decision to leave the benchmark rate unchanged is based on detailed risk balance analysis for inflation forecasts, including information from international and domestic macroeconomic indicators, market expectations and medium-term projections. Inflation for march 2019 was 0.65%, so cumulative inflation in the first three months of the year stood at 0.86%. On the other hand, year-on-year inflation stood at 1.47% in March, while underlying inflation, which excludes prices for the most volatile components, stood at 2.15%. The BCRD's forecasting system and market expectations indicate that overall inflation would remain low, gradually approaching the centre of the target range of 4.0% - 1.0% over the two-year monetary policy horizon.","04","19",3
"In the international environment, trade war in larger economies, coupled with geopolitical tensions and increased uncertainty in international financial markets, led to a downward revision of global growth. In this regard, Consensus Forecast estimated that the world economy would grow 2.7% in 2019 and 2.8% by 2020. The performance of advanced economies continues to be boosted by the United States of America, expanding by 3.2% during the first quarter of 2019. However, signs of a gradual slowdown in the US persist, projecting growth of 2.4% in 2019 and 2.0% by 2020. This context of lower growth in the U.S., coupled with low inflationary pressures led to a pause in the Federal Reserve's monetary normalization. Moreover, market analyst projections point to a possible reduction in the EDF's monetary policy rate this year.","04","19",4
"On the other hand, in the face of a moderation in the growth of large economies such as France, Germany and Italy, the growth prospects for the Eurozone (EEG) continue to be downwards. Consensus Forecast estimates expansions of 1.1% and 1.3% for 2019 and 2020, respectively. The projections also indicate that ZE inflation would remain below its target for years to come. In this way, the European Central Bank would exhibit a more expansive-than-expected monetary policy stance by keeping its benchmark interest rate unchanged and through new programmes to stimulate the channeling of credit to the private sector through financial institutions. In this regard, international financial conditions would remain favourable for emerging economies.","04","19",5
"In Latin America, growth forecasts have also been revised downwards by 1.6% for 2019 and recovering to 2.5% by 2020. Within the region, economies contrast with strong macroeconomic fundamentals with those that would remain in recession such as Venezuela, Argentina and Nicaragua, while other major economies in the region such as Brazil, Mexico, Ecuador and Uruguay would grow below 2.0% this year.","04","19",6
"In terms of raw materials, the price of oil has shown a gradual upward trend since the beginning of the year associated with lower supply in the face of production cuts by the Organization of Petroleum Exporting Countries (OPEC) and economic sanctions on oil-producing countries such as Iran and Venezuela. The average price of Texas Intermediate Oil (WTI) barrel is expected to be around $60.0 this year, in line with the National Budget.","04","19",7
"In the domestic context, the Monthly Economic Activity Indicator (IMAE) notes that the Dominican economy continues to grow above its potential, with a year-on-year expansion of 5.9% in the January-February period of this year, driven mainly by investment and private consumption. The dynamism of domestic demand, coupled with favourable monetary conditions, has contributed to the continued growth of credit to the private sector in national currency at year-on-year rates of around 10.0%.","04","19",8
"With regard to fiscal policy, there is a balanced balance sheet of the Non-Financial Public Sector in the first two months of the year, with a primary surplus expected to be maintained during 2019, as envisaged in the National Budget. In the external sector, foreign exchange-generating activities maintain remarkable dynamism, highlighting tourism, remittances and foreign direct investment; which has contributed to the relative stability of the exchange rate and facilitating the accumulation of international reserves.","04","19",9
"The Central Bank of the Dominican Republic remains attentive to the evolution of international financial conditions and the dynamics of the price of oil at a global level, as well as the potential impact of climate phenomena on the domestic economy, being prepared to react in a timely manner to any factor that may generate inflationary diversions. In this regard, the issuing body reaffirms its commitment to driving monetary policy towards the achievement of its inflation target and the smooth functioning of the financial and payment systems, thus contributing to the maintenance of macroeconomic stability.","04","19",10
"BCRD keeps its monetary policy rate at 3.50% per year","04","20",1
"At its monetary policy meeting in April 2020, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 3.50% per annum. In addition, the interest rate for the permanent ease of expansion (Repos to 1 day) remains at 4.50% per annum, while the interest rate on paid deposits (Overnight) stands at 2.50% per annum.","04","20",2
"The decision on the benchmark rate is based on a comprehensive analysis of the impact of the current uncertainty on macroeconomic stability and future inflation developments. In this sense, the monthly inflation of March was -0.52 %, while the inflation accumulated during the first three months of the year was -0.32%. On the other hand, year-on-year inflation, i.e. from March 2019 to March 2020, moderated to 2.45%, below the target range of 4.0% to 1.0%, while the underlying inflation, reflecting monetary conditions, reached 2.67%. Moving forward, the BCRD forecasting system indicates that inflation would remain below the lower bound of the target range for the remainder of 2020. Low inflationary pressures give the BCRD greater degrees of freedom to continue reacting in a timely manner to the adverse impact of COVID-19 on the Dominican economy, if necessary.","04","20",3
"In the international environment, the accelerated spread of coronavirus has forced strong containment measures, which would have a significant negative impact on global economic activity. As a result, the International Monetary Fund (IMF), in its Report World Economic Outlook published in April, decreased global growth projections from 2.9% in 2019 to -3.0% in 2020. In response to the deterioration in global growth, central banks around the world have taken monetary easing and liquidity provision measures to support their countries' domestic demands.","04","20",4
"In the United States of America (USA), the IMF projects that economic activity would contract this year, ranging from an expansion of 2.3% in 2019 to -5.9% by 2020. Indeed, preliminary estimates indicate that growth in the U.S. economy moderated to 0.3% year-on-year during the first quarter, influenced by a fall in consumption and private investment. In this context of uncertainty, high stock market volatility and low inflationary pressures, the Federal Reserve (Fed) reduced the federal funds rate by 150 basis points during the month of March, placing it in the range of 0% - 0.25%. In addition, the Fed expanded its liquidity provision programs to the financial system through Repos to varying terms of up to 90 days, purchases on the secondary market of Treasury bonds and mortgage-backed securities and credit channeling programs for small and medium-sized enterprises through financial institutions.","04","20",5
"As for the Euro Zone, the IMF projects that COVID-19 will cause an even greater contraction in this bloc of countries, moving from 1.2% growth in 2019 to -7.5% by 2020. In response to the impact of coronavirus, the European Central Bank keeps the rate of short-term deposits (Overnight) at -0.50% per annum, while extending the liquidity provision programme for private credit pipeline through financial institutions and expanding the purchase of public and private securities on the secondary market.","04","20",6
"On the other hand, Latin America, which was already facing a weakened economic situation, has been simultaneously affected by the impact of coronavirus and falling commodity prices, causing a reduction in the regional growth outlook to -5.2% by 2020. In this context, the central banks of Brazil, Chile, Mexico, Colombia, Peru, Guatemala, Honduras and Costa Rica have lowered their interest rates this year, as well as taking additional liquidity provision measures through financial institutions.","04","20",7
"In relation to raw materials, a substantial reduction in the price of Texas intermediate oil has been observed due to a combination of low demand and increased inventories, placing below $15 a barrel at the end of April. By contrast, the price of gold has increased, ranking around $1,700 per troy ounce, when it is used as a value haven in an environment of high uncertainty. The price dynamics of primary goods implies an improvement in terms of trade for the Dominican Republic which is reflected in a decrease in the oil turnover and an increase in gold exports, which along with the flow of remittances received during the first quarter of the year exceeding US$1.7 billion and the growth of domestic and free zone exports , partially offset the impact of COVID-19 on the external sector.","04","20",8
"Importantly, at the time of the pandemic containment measures in the Dominican Republic, the economy was in a favourable cyclical position, characterized by economic growth around potential and low inflationary pressures, giving it the flexibility to accommodate this adverse shock through the adoption of expansive monetary measures aimed at boosting domestic demand. Indeed, preliminary information from the Monthly Economic Activity Index (IMAE) indicates a marked slowdown during the month of March in relation to the pace of expansion observed in January and February, although the economy would not be recording negative growth during the first quarter of the year in the face of the impact of COVID-19.","04","20",9
"In this context, the Central Bank has adopted in March and April a set of monetary and financial measures aimed at preserving economic stability and mitigating the effects of coronavirus through increased financing for productive sectors and households at lower interest rates. In particular, of the total RD$100 billion that has been made available to financial intermediation entities, some RD$50 billion have been channelled through different facilities. Of this amount, some RD$10 billion correspond to private loans granted through the release of resources from the legal lace and some RD$40 billion to provision liquidity to financial intermediation entities through Repos up to 90 days.","04","20",10
"It is emphasized that, even under current conditions of high uncertainty, legal lace resources are being channelled at a faster rate than all previous occasions when this monetary policy instrument has been used. In addition, there has also been a significant reduction of around 300 basis points in interest rates on loans granted by multiple banks during the month of April and greater dynamism in monetary aggregates.","04","20",11
"These favourable monetary conditions have contributed to an acceleration of credit to the private sector expanding by around 13% year-on-year, highlighting the channelling of loans to the Manufacturing, Hotels and Restaurants, Construction and Commerce sectors. The dynamism of private credit increases access to working capital for sectors currently operating at full capacity and provides greater liquidity to those activities suspended by the pandemic. It is important to note that the Central Bank has the necessary space to continue to support the productive sectors and households, once the sanitary conditions allow for a process of gradual normalization of the economy, and facilitate a rapid recovery in domestic demand.","04","20",12
"On the other hand, it should be noted that the approval of the disbursement of some US$650 million as emergency financial assistance by the IMF, equivalent to 100% of the country's share in this multilateral body, will help the Dominican government continue to face the challenges posed by COVID-19. Access to these resources, together with the Central Bank's $622 million foreign currency liquidity provision measures and the Central Bank's high levels of international reserves, will help maintain relative exchange rate stability in the face of a convulsing international environment.","04","20",13
"The Central Bank of the Dominican Republic reaffirms its commitment to drive monetary policy towards achieving its inflation target and the smooth functioning of financial and payment systems, thus contributing to the maintenance of macroeconomic stability. In this regard, the institution will continue to monitor the impact of the coronavirus on the Dominican economy, being prepared to continue reacting in a timely manner to factors that may lead to deviations from the inflation target and affect economic growth.","04","20",14
"The Central Bank of the Dominican Republic, at its Monetary Policy Meeting of May 2012 decided, effective June 1, to reduce its Monetary Policy Interest Rate (Overnight) by 75 basis points, from 6.75% to 6.0% per annum. At the same time, it decided to reduce the Lombard Rate by 100 basis points, from 9.0% to 8.0% annually. With this decision, the policy rate corridor narrows.","05","12",1
"The decision regarding the benchmark interest rate is based on the fact that in a passive scenario, projections point to an inflation rate below the lower limit of the target for this year. In fact, in the month of April, the interannual rate of inflation was 4.0%, below the goal that this year was established at 5.5% <U+00B1> 1%. Core interannual inflation, which is associated with monetary inflationary pressures, fell to 3.7%, its lowest level in the last two years. The forecast models indicate that no significant inflationary pressures are expected in the monetary policy horizon.","05","12",2
"In the external context, the growth of the US economy continues to be moderate, while increasing uncertainty about how the European Union would solve its financial and fiscal sustainability problems, strengthening the prospects for weak economic growth for that area. On the other hand, in recent months emerging economies have shown a more modest performance than anticipated, although growth expectations remain positive, particularly in emerging Asia and Latin America. The moderation in global economic activity and the greater uncertainty about the European crisis have contributed to reversing the upward trend observed in the prices of raw materials at the beginning of the year. In that sense, the international price of oil has been reduced since last March, falling below the forecasts of the Economic Consensus and the IMF for the current year.","05","12",3
"In the domestic sphere, economic activity continues to show a moderate performance, growing around 4% during the first quarter of the year, a rate below its potential. The current levels of interest rates and expectations created by the electoral cycle have slowed the rate of growth of credit to the private sector in national currency, which has been below the nominal GDP growth forecast for the current year. Despite the external situation, the performance of the export sector continues to improve, while the growth of imports has moderated and a higher-than-expected increase in foreign direct investment is projected. These factors help to relieve pressures on external accounts. Regarding market inflation expectations, economic surveys show a more positive scenario with inflation forecasts in the target range, both for 2012 and 2013.","05","12",4
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve the inflation target of 5.5% <U+00B1> 1% for 2012, while continuing to monitor the evolution of the world economy and the domestic situation in order to react in a timely manner to risks on price stability and the proper functioning of the financial and payment systems.","05","12",5
"The Central Bank of the Dominican Republic, in its Monetary Policy Meeting of May 2013, decided to reduce its Monetary Policy Interest Rate (MPR) from 5.00% to 4.25%. . This is the first reduction of the MPR since August 2012. According to the new short-term liquidity management scheme of the Central Bank, the interest rates of permanent expansion and monetary contraction facilities will decrease to 6.25% and 2.25% annual, respectively.","05","13",1
"The decision on the benchmark interest rate takes into account that the forecast models indicate that there will be no major inflationary pressures in the coming months and no deviations from inflation are expected with respect to its target in the monetary policy horizon. On the other hand, production is below its potential capacity and during the quarter January-March recorded a growth rate below the average of recent years, as a result of the weakness that domestic demand has been showing. Macroeconomic models indicate that, if measures are not taken, production will remain below its potential until the end of 2014. Market inflation expectations are located around the objective of the Monetary Program.","05","13",2
"In terms of price data, in April the monthly inflation rate was -0.06%, while in accumulated terms it reached 1.9% in the first four months of the year. The year-on-year inflation rate fell to 4.9% in April, influenced by the negative inflation of that month. Additionally, the interannual core inflation stood at 5.0%, also presenting a downward trend with respect to the previous month.","05","13",3
"In the external context, the Euro Zone remains in recession, registering a fall in its economic activity of 0.8% in the first quarter of the year. The United States of America, on the other hand, achieved 2.5% growth in the same period, which confirms the moderate recovery trend that this economy has been exhibiting since the end of 2011. According to the Consensus Forecast, the economies of the Euro Zone and The US would present growth of around -0.5% and 1.9% at the end of the year, respectively. In Japan, the recent measures of monetary expansion have brought optimism in that economy, but China and other important emerging economies have shown signs of slowdown, reflecting the latter in a fall in the prices of primary goods, especially minerals. International financial conditions have improved, despite the fragility of the fiscal situation in some industrialized economies.","05","13",4
"In the domestic sphere, the economic activity measured by the Real Gross Domestic Product grew 0.3% in the first quarter, reflecting a notable weakness in domestic demand and an excess supply of goods and services. However, credit to the private sector in national currency would be accelerating, influenced by the recent measures to liberalize reserve requirements, which has allowed year-on-year growth of private loans in national currency of over 8% in May. The expansion of private credit indicated is in line with the projection of nominal GDP growth for the year end of 8.2%. As for the external sector, exports would be growing due to the increase in mining exports. This, combined with the drop in imports of goods and services and the reduction in the value of the oil bill, would allow an improvement in the current account of the balance of payments by the end of the year.","05","13",5
